,Year,Mon,Month,PRCP,TMAX,TMIN,RH,EVP,TSUN,U2,PET,SPI
1,Jan-61,1,JAN,1,33.6,19.4,69,5.8,7.2,3,168.8832557,0.493175772
2,Feb-61,2,FEB,0,34.8,17.2,47,9.3,8.2,3,167.0108188,-0.253347103
3,Mar-61,3,MAR,6.9,32.3,22.2,57,8.4,6.7,3,160.9058121,-1.49444334
4,Apr-61,4,APR,148.5,31.9,22.8,74,4.4,6.4,3,153.1728398,0.735982585
5,May-61,5,MAY,120.9,31.1,22.2,78,2.9,6.7,3,147.6068321,-0.496127417
6,Jun-61,6,JUN,175.3,29.5,21.1,81,2.4,6.1,4,119.7337991,-0.156355749
7,Jul-61,7,JUL,127.3,28.8,21.1,85,1.7,2.6,4,122.0988663,-0.269628888
8,Aug-61,8,AUG,44.7,28.6,20,82,2.3,3.9,4,131.8890894,-1.39195565
9,Sep-61,9,SEP,167.6,29.3,20.5,85,2,3.7,3,149.6508885,-0.692825538
10,Oct-61,10,OCT,45.2,28.9,20.5,76,3.1,6.6,3,153.2235135,-1.566670724
11,Nov-61,11,NOV,0,32.9,20.5,68,5.5,8.3,3,164.2084218,-0.253347103
12,Dec-61,12,DEC,0,33.8,16.1,58,7.3,8.6,5.6,205.9909094,0.604585347
13,Jan-62,1,JAN,0,34.4,16.1,51,8.4,8.2,3,181.7834191,0.253347103
14,Feb-62,2,FEB,0,36.7,20,53,9.7,7.9,3,174.3680878,-0.253347103
15,Mar-62,3,MAR,23.6,35.2,23.3,67,6.8,7.1,3,177.7617988,-0.536598599
16,Apr-62,4,APR,154.2,32.7,22.8,71,5.1,7.1,4,161.7603223,0.808834952
17,May-62,5,MAY,252.4,32.6,21.6,80,2.5,6.9,3.1,169.6945916,1.281156068
18,Jun-62,6,JUN,310.9,31.7,20.5,80,2.1,5.7,4.2,155.9654155,1.57511074
19,Jul-62,7,JUL,170.2,29.8,21.1,85,2,4.7,5.1,140.5763509,0.324746474
20,Aug-62,8,AUG,130.6,29.6,20.5,84,2,4,4.3,132.1933588,0.021413126
21,Sep-62,9,SEP,251.3,30.1,20.5,86,1.8,3.9,3.9,136.3249699,0.45835202
22,Oct-62,10,OCT,223.6,31.5,20.5,82,2.2,6.5,3.1,154.5255604,0.917655646
23,Nov-62,11,NOV,156.1,33.6,20.5,80,2.4,6.6,3.4,171.3527704,2.265298558
24,Dec-62,12,DEC,0.5,34.6,18.9,72,4.4,8.1,5.5,210.8373148,0.74343428
25,Jan-63,1,JAN,0,35,19.4,77,5.1,7.8,3,178.7915954,0.253347103
26,Feb-63,2,FEB,23.1,36.6,22.8,73,5.7,7.7,4,185.1617847,0.906440757
27,Mar-63,3,MAR,72.1,36.1,21.6,69,5.7,6.5,4,202.9367701,0.987684446
28,Apr-63,4,APR,108,34.4,22.8,74,4.2,6.2,4,180.1378395,0.15637702
29,May-63,5,MAY,117.1,32.2,22.8,80,2.6,5.7,4,161.682577,-0.563885934
30,Jun-63,6,JUN,290.8,30.5,21.1,84,2,6.4,3,141.8061469,1.354916742
31,Jul-63,7,JUL,320.5,29.4,21.1,84,2.1,4.3,3,131.0836272,1.845358406
32,Aug-63,8,AUG,219.7,28.3,21.1,86,2,6.1,4,125.7051033,0.899850364
33,Sep-63,9,SEP,250.2,28.9,21.1,85,2.2,5.6,3,130.8183841,0.445037358
34,Oct-63,10,OCT,195.3,31.1,21.1,82,2,7.6,3,148.9711551,0.65425592
35,Nov-63,11,NOV,0,31.6,17.8,67,5,7.6,3,158.2809543,-0.253347103
36,Dec-63,12,DEC,0,33.3,18.3,76,5.5,8,3,170.0194007,0.604585347
37,Jan-64,1,JAN,1,32.7,18.3,65,5.5,6.9,4,171.9698264,0.493175772
38,Feb-64,2,FEB,0,34.4,20,62,3.8,8.1,4,175.2278182,-0.253347103
39,Mar-64,3,MAR,45.7,35.5,23.3,68,2.9,8.1,4,199.2045367,0.285982117
40,Apr-64,4,APR,93,33.3,22.8,74,2.7,7.1,4,172.3501116,-0.095182846
41,May-64,5,MAY,196.9,31.2,21.6,82,1.9,7.1,5,168.9355844,0.631218702
42,Jun-64,6,JUN,204.5,31.2,21.1,83,2,6.5,3,148.335535,0.276465726
43,Jul-64,7,JUL,110.1,29.6,20.5,85,1.3,4,3,120.4035923,-0.546409094
44,Aug-64,8,AUG,26.9,28.3,20,83,1.2,3.1,3,105.6225815,-1.929100295
45,Sep-64,9,SEP,205.5,30,20.5,86,1.5,4.3,3,133.0277771,-0.132582783
46,Oct-64,10,OCT,57.9,31.1,20,86,1.6,5.7,3.2,158.9470132,-1.255229841
47,Nov-64,11,NOV,55.9,33.9,20,79,2.4,6.9,3.4,170.9287235,1.328349951
48,Dec-64,12,DEC,77.5,33.9,20,71,2.3,6.7,5.2,192.5349157,1.890622739
49,Jan-65,1,JAN,61.2,33.7,20.5,78,3.8,7.7,2,150.0913083,1.993043716
50,Feb-65,2,FEB,22.6,35.7,21.1,73,5.1,7.7,3,172.9150967,0.890702976
51,Mar-65,3,MAR,46.2,36.1,22.3,72,6.5,8,5,216.8789441,0.301365498
52,Apr-65,4,APR,134.1,34.8,21.6,73,5,6.7,3,176.3003458,0.543429396
53,May-65,5,MAY,161.8,32.8,21.6,78,3.8,7,3,151.7290989,0.155379955
54,Jun-65,6,JUN,134.1,31.6,21.6,84,2.6,6.5,3,148.5928359,-0.859192601
55,Jul-65,7,JUL,171.5,29.6,21.1,86,2.1,5.1,3,128.3923851,0.341102306
56,Aug-65,8,AUG,122.6,28.9,21.1,88,2.1,3.8,3,117.3476539,-0.075300061
57,Sep-65,9,SEP,208,29.7,20.5,88,2.4,5.1,3,132.059145,-0.098173153
58,Oct-65,10,OCT,192,32,19.4,84,2.4,6.5,3,164.722318,0.621959405
59,Nov-65,11,NOV,0,34.6,19.4,71,5.5,7.5,3,174.5800619,-0.253347103
60,Dec-65,12,DEC,0,34,16.7,65,6.3,7.7,3,174.9545804,0.604585347
61,Jan-66,1,JAN,15,33.7,18.9,73,7.8,6.9,3,170.2213877,1.119478759
62,Feb-66,2,FEB,0,35.8,18.9,56,9.7,7.9,4,190.007456,-0.253347103
63,Mar-66,3,MAR,41.1,35.8,22.8,71,7.2,7.9,5,208.8668366,0.139266686
64,Apr-66,4,APR,94,35.2,23.3,73,6,7.2,4,187.7756088,-0.077594183
65,May-66,5,MAY,85.9,32.9,22.2,75,3.3,6.9,4,173.6505094,-1.187652812
66,Jun-66,6,JUN,382.5,31,21.1,84,2.7,7,4,156.3042683,2.292796326
67,Jul-66,7,JUL,178.1,29.2,21.6,84,1.7,5.5,4,133.5013909,0.422898385
68,Aug-66,8,AUG,139.5,28.3,21.1,85,1.7,3.7,4,119.7734949,0.124420933
69,Sep-66,9,SEP,169.4,29.5,21.1,87,1.9,4.5,4,129.9502016,-0.664369602
70,Oct-66,10,OCT,143,31.9,20.5,87,2.6,6.4,4,168.8095906,0.092221848
71,Nov-66,11,NOV,0.8,34.7,20,83,4.6,7.7,3,175.7307115,-0.010315158
72,Dec-66,12,DEC,0,34,16.7,71,6.7,7.8,3,175.804361,0.604585347
73,Jan-67,1,JAN,0,35.2,15,47,8.7,6.4,3,181.966657,0.253347103
74,Feb-67,2,FEB,5.6,36,21.1,68,8.5,7.6,4,177.9384452,0.197141152
75,Mar-67,3,MAR,104.4,36.1,22.2,70,6.8,6.9,5,209.7283008,1.65372595
76,Apr-67,4,APR,87.3,34.3,22.8,78,4.3,6.7,5,193.5173306,-0.197969066
77,May-67,5,MAY,83.1,32.8,21.6,78,3.6,8.1,4,180.482324,-1.250972748
78,Jun-67,6,JUN,108,31.1,21.1,83,3.2,6.6,4,148.5271544,-1.385479452
79,Jul-67,7,JUL,62.2,30.4,20.5,83,2.4,3.3,4,135.6660658,-1.523941459
80,Aug-67,8,AUG,33,29.4,20.5,83,2.8,3.5,5,133.5897145,-1.72104602
81,Sep-67,9,SEP,176.1,30.5,20.5,86,2.2,3.9,4,142.7316499,-0.560227877
82,Oct-67,10,OCT,176.2,32.1,21.1,82,2.3,6.4,4,166.0399485,0.462067463
83,Nov-67,11,NOV,17.3,34.6,19.4,82,4.9,7.8,3,173.2869444,0.686378697
84,Dec-67,12,DEC,52.8,34.8,20.5,77,4,6.6,3,160.2834744,1.669964013
85,Jan-68,1,JAN,1.3,36.1,17.8,70,9.9,6.2,3,174.9856727,0.524200692
86,Feb-68,2,FEB,51.1,37.9,21.1,73,11.5,7.7,5,212.5070828,1.614697939
87,Mar-68,3,MAR,31.8,37,22.8,74,12.4,7,7,246.5911952,-0.1918676
88,Apr-68,4,APR,250.3,35.3,22.2,76,8.9,6.8,5,200.5740349,1.839396084
89,May-68,5,MAY,100,33.5,21.6,79,4.2,7.5,5,192.7994406,-0.88906444
90,Jun-68,6,JUN,298.4,31.7,21.1,83,3,6,4,152.2580356,1.439290907
91,Jul-68,7,JUL,274.6,30.5,21.1,86,1.9,5.2,5,148.1582485,1.441607823
92,Aug-68,8,AUG,350,29.9,21.6,85,1.9,4.8,4,130.3601533,1.836265309
93,Sep-68,9,SEP,281.7,30.5,20.5,76,2.6,4.4,3,139.6444348,0.812065079
94,Oct-68,10,OCT,91.2,32,21.1,80,5,7,3,160.7251613,-0.624253367
95,Nov-68,11,NOV,6.1,33.7,21.1,75,10,8.2,3,158.773469,0.340945284
96,Dec-68,12,DEC,0,34.6,20.5,76,11.7,7.3,2,155.619461,0.604585347
97,Jan-69,1,JAN,0,33.3,17.2,63,7.6,8.1,2,154.5086938,0.253347103
98,Feb-69,2,FEB,4.3,35.5,22.2,70,8.1,8.5,4,180.0668242,0.119559676
99,Mar-69,3,MAR,34.8,37.2,23.9,73,6.2,7.7,4,213.798101,-0.079229988
100,Apr-69,4,APR,100.7,34.7,23.3,75,4.3,6.5,4,178.1747998,0.037106285
101,May-69,5,MAY,261.1,32.4,22.8,79,3.2,7.4,3,162.3738804,1.374369328
102,Jun-69,6,JUN,262.8,31.4,21.6,81,2.5,6.9,2,135.0925378,1.03116357
103,Jul-69,7,JUL,156.5,29.8,21.6,86,2,4.3,2,121.060209,0.147108166
104,Aug-69,8,AUG,161.8,29.5,21.1,80,1.7,2.8,3,123.1454813,0.364515516
105,Sep-69,9,SEP,194.3,29.9,21.1,98,1.6,3.1,2,127.1509677,-0.290292914
106,Oct-69,10,OCT,171.4,31,21.1,83,2.1,6.3,2,146.2512536,0.411633549
107,Nov-69,11,NOV,74.7,33.9,18.3,77,4,8.1,1,130.4198461,1.548416582
108,Dec-69,12,DEC,0,33.5,19.4,79,5.4,8.4,1,131.7591388,0.604585347
109,Jan-70,1,JAN,18,33.3,20,79,5.6,7.2,1,129.5635857,1.20029064
110,Feb-70,2,FEB,0,35.1,20.5,71,7.7,7.5,3,159.4189545,-0.253347103
111,Mar-70,3,MAR,50.3,35.8,23.3,74,6.4,7.7,4,198.3663095,0.423761212
112,Apr-70,4,APR,75.7,34.3,23.3,75,4.9,5.9,3,159.8059559,-0.422229203
113,May-70,5,MAY,165.4,32.7,22.2,80,3.4,7.1,3,158.9933382,0.207158047
114,Jun-70,6,JUN,146.4,31.4,20.8,81,2.8,7.4,2,147.382647,-0.635557526
115,Jul-70,7,JUL,119.3,29.4,21.1,83,2.2,4.7,3,122.3362752,-0.394961366
116,Aug-70,8,AUG,42.2,28.2,20.2,85,2.3,2.4,2,101.769129,-1.456354776
117,Sep-70,9,SEP,260.3,29.2,20.8,86,1.9,4.3,2,113.7507571,0.565872328
118,Oct-70,10,OCT,60.7,31.5,21,78,3,7.2,2,147.07762,-1.1934026
119,Nov-70,11,NOV,0,34,19,66,6,8.1,1,136.2241935,-0.253347103
120,Dec-70,12,DEC,0,34.4,17,57,7.1,8.3,2,159.9090731,0.604585347
121,Jan-71,1,JAN,0,33.3,18.1,59,7.3,8,1,129.0852137,0.253347103
122,Feb-71,2,FEB,6.6,35.1,21.3,71,7.1,7.5,2,146.1965105,0.252415205
123,Mar-71,3,MAR,31.8,35.8,22.8,69,5.9,7.6,5,212.1959096,-0.1918676
124,Apr-71,4,APR,100.8,34.3,22.9,72,5.3,7.7,5,197.1893577,0.038778709
125,May-71,5,MAY,156.1,32.7,22.6,77,3.9,7.8,3,170.962593,0.071803031
126,Jun-71,6,JUN,169.1,31.4,21.4,82,2.6,6.5,3,148.1938129,-0.254381786
127,Jul-71,7,JUL,93.4,29.4,20.9,84,2.2,4.8,3,127.9105017,-0.845280756
128,Aug-71,8,AUG,112.4,28.2,20.8,86,1.8,3.2,3,112.6977727,-0.20503322
